listener,listener_trial,mturk_worker,mturk_trial,level_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity,difficulty_matched_subset,distance_matched_subset,excitation_matched_subset,proportion_judged_louder
9,158,167,2,2,cash register,faint-sounds-of-cash-register,cash register,1,2,0,0,0,0.6
9,159,137,48,5,monkey screaming,a-chimpanzee-shrieking,monkey screaming,1,high-intensity,1,0,1,0.6
9,159,168,3,5,monkey screaming,a-chimpanzee-shrieking,monkey screaming,1,high-intensity,1,0,1,0.6
9,160,116,9,4,oldfashioned dialer,someone-dialing-a-rotary-phone,crumpling paper,0.5,low-intensity,1,0,1,0.6
9,160,201,10,4,oldfashioned dialer,someone-dialing-a-rotary-phone,oldfashioned dialer,0.5,low-intensity,1,0,1,0.6
9,161,130,12,5,liquid pouring out of a bottle,someone-pouring-liquid-out-of-a-bottle,liquid pouring out of a bottle,1,2,0,0,0,0.6
9,161,240,20,5,liquid pouring out of a bottle,someone-pouring-liquid-out-of-a-bottle,liquid pouring out of a bottle,1,2,0,0,0,0.6
9,162,120,1,5,crowd noise,restaurant-din,crowd noise,1,high-intensity,0,0,1,0.2
9,162,218,12,5,crowd noise,restaurant-din,crowd noise,1,high-intensity,0,0,1,0.2
9,163,126,45,3,chopping wood,a-small-object-bouncing,dice roll,0.5,3,0,0,0,0
9,163,193,43,3,chopping wood,a-small-object-bouncing,chopping wood,0.5,3,0,0,0,0
9,164,77,17,6,shaving with electric razor,weed-cutters,clipping hair,0,2,0,0,0,1
9,164,167,18,6,shaving with electric razor,weed-cutters,hair dryer,0,2,0,0,0,1
9,165,102,12,6,jumping rope,foot-steps,jumping rope,1,2,0,1,0,0.6
9,165,216,6,6,jumping rope,foot-steps,jumping rope,1,2,0,1,0,0.6
9,166,108,15,4,wind chimes,chimes,wind chimes,1,3,0,0,0,0.6
9,166,156,1,4,wind chimes,chimes,wind chimes,1,3,0,0,0,0.6
9,167,96,8,1,sipping,someone-slurping-a-hot-drink-and-swallowing,sipping,1,2,0,0,0,0.6
9,167,184,20,1,sipping,someone-slurping-a-hot-drink-and-swallowing,sipping,1,2,0,0,0,0.6
9,168,91,2,1,tuba,faint-sounds-of-tuba-playing,tuba,1,3,0,0,0,0.6
9,168,143,29,1,tuba,faint-sounds-of-tuba-playing,tuba,1,3,0,0,0,0.6
9,169,106,48,1,pig snorting,pig-noises,pig snorting,1,3,0,1,0,0.6
9,169,160,38,1,pig snorting,pig-noises,pig snorting,1,3,0,1,0,0.6
9,170,125,35,2,explosion,rain-falling,running on a hard surface,0,high-intensity,1,0,1,0
9,170,159,45,2,explosion,rain-falling,frying,0,high-intensity,1,0,1,0
9,171,107,34,6,cricket,crickets-chirping,cricket,1,2,0,0,0,0.6
9,171,188,44,6,cricket,crickets-chirping,cricket,1,2,0,0,0,0.6
9,172,106,50,5,elevator door,elevator-noises,elevator door,1,2,0,1,0,0.8
9,172,233,50,5,elevator door,elevator-noises,elevator door,1,2,0,1,0,0.8
9,173,128,22,5,car crash,a-crash,car crash,1,high-intensity,1,0,1,0.4
9,173,188,11,5,car crash,a-crash,car crash,1,high-intensity,1,0,1,0.4
9,174,69,18,1,piano,piano-playing,piano,1,3,0,0,0,0.6
9,174,229,21,1,piano,piano-playing,piano,1,3,0,0,0,0.6
9,175,134,22,4,dog panting,dog-panting,dog panting,1,2,0,0,0,0.6
9,175,157,32,4,dog panting,dog-panting,dog panting,1,2,0,0,0,0.6
9,176,67,50,1,scrubbing dishes,dog-panting-or-someone-rubbing-one-object-against-another,waves,0.5,2,0,0,0,0.4
9,176,193,3,1,scrubbing dishes,dog-panting-or-someone-rubbing-one-object-against-another,scrubbing dishes,0.5,2,0,0,0,0.4
9,177,88,6,1,gargling,person-gargling,gargling,1,low-intensity,1,1,0,0.6
9,177,169,9,1,gargling,person-gargling,gargling,1,low-intensity,1,1,0,0.6
9,178,91,14,2,humming,man-humming,humming,1,low-intensity,1,0,1,0.6
9,178,157,47,2,humming,man-humming,humming,1,low-intensity,1,0,1,0.6
9,179,133,48,4,rollerblading,sounds-of-leather--maybe-leather-pants,cartoon sound effects,0,3,0,0,0,0
9,179,220,27,4,rollerblading,sounds-of-leather--maybe-leather-pants,shuffling,0,3,0,0,0,0
9,180,70,10,1,coffee machine,swallowing,crowd laughing,0,low-intensity,0,1,1,0
9,180,147,28,1,coffee machine,swallowing,soda pouring into a cup,0,low-intensity,0,1,1,0
9,181,91,13,7,boat horn,foghorn,boat horn,1,high-intensity,1,0,1,0.4
9,181,151,50,7,boat horn,foghorn,boat horn,1,high-intensity,1,0,1,0.4
9,182,122,43,2,grating food,that-musical-instrument-that-you-shake,noisemaker,0,low-intensity,0,1,1,1
9,182,209,20,2,grating food,that-musical-instrument-that-you-shake,popcorn popping,0,low-intensity,0,1,1,1
9,183,116,13,3,bassoon,japanese-music,clarinet,0,3,0,0,0,0.8
9,183,175,32,3,bassoon,japanese-music,guitar,0,3,0,0,0,0.8
9,184,67,12,7,russian,man-speaking-Russian,russian,1,2,0,0,0,0.6
9,184,150,37,7,russian,man-speaking-Russian,russian,1,2,0,0,0,0.6
9,185,128,32,6,traffic noises,traffic-noise,traffic noises,1,high-intensity,1,0,1,0.6
9,185,146,18,6,traffic noises,traffic-noise,traffic noises,1,high-intensity,1,0,1,0.6
9,186,56,36,4,cat purring,cat-purring,cat purring,1,low-intensity,1,0,0,0.6
9,186,169,33,4,cat purring,cat-purring,cat purring,1,low-intensity,1,0,0,0.6
9,187,133,36,2,lawn mower,background-noise-of-landscaping-tools,lawn mower,1,high-intensity,1,0,1,0.6
